id	ttext
408906765841870848	Теперь у меня есть частичка Сиднея :) #Sydney #SydneyOperaHouse http://t.co/agnto3CZEi
408907042154635264	RT @StarScrim3: #RT Электрогенератор http://t.co/qjlwirfD3A изсостоек и не победим!))
408907042951143424	Второй день подряд мне снятся сны с Ромой. Я сошла с ума) #RomaAcorn
408907127663886336	Встречайте, мои супер одногруппницы, будущие историки искусства и моды:) #большиеоригиналы #попятницамносимчерное http://t.co/zGe3pX3F8P
408907129899077632	все,я вас покидаю,результаты гляну вечером)#биатлон
408907777336438784	8-ые пришли)) я опять запредельно радуюсь,  часы черного цвета это двойная радость^^ #мояпрелесть… http://t.co/oBXeKaU1G1
408907878192656384	Урааа! @dolbysystem, вот!  я же говорила!))) #DavaiDinamo
408907934458859520	Все свое ношу с собой ) Хорошая штука все же #Dropbox. Кто еще не в теме - регистрируемся и получаем бонус ) https://t.co/WZ9LDhqnQO
408908012750118912	Цена на билет на КВН на сегодняшний финал от 10 000 на балконе ;) #камызяки http://t.co/plvnmgSlah
408908014612013056	Мой комп не выдерживает такого напора фоток от @real_dzemki ))) #СоколовскийЯХочуТебя
408908014721458176	Такая вот моя будущая работа, дигистировать балык) #товароведы http://t.co/dwn5wE7xUA
408908178072821760	Вот как #google любит зиму, сам эффекты добавил)) GIF: http://t.co/seK4NQF5tr
408908287271112704	Вот и закончилась рабочая неделя! Как отпраздновать ее весело?) http://t.co/gdBK5Q3ScZ #fact #ireland #odessa http://t.co/DFDTp4Ih82
408908382469230592	Я не знаю, но они были уже здесь задолго нашего появления. /)__) #follow
408908589328502784	Вот чем я пахну после ванны)#запахсчастья http://t.co/9McjwrtwLa
408908633150619648	Покупал сегодня кое-что в топшопе для сестры, все девушки вокруг смотрели на меня с максимально мимимишным выражением лица) #такнеловко
408908634618621952	RT @Boo_Lika: Для тех, кто, проснувшись, читает тви #уфа: На улице снежно и минус 1 градус по Цельсию)) Не скользко и движение машин вялое.…
408908688079208448	""Наша гордость"" родного лицея :) @ МАОУ Лицей-интернат #1 г. Альметьевска http://t.co/uxeHuRdtb8
408909152162185216	RT @brown_eyed_owl: в новом клипе The Fray засветилась Кэндис Аккола) #TVD #new #TheFray
408909553963503616	Но повар зарезал его специальным кошерным ножом, и двор гостиницы потонул в крови. :-) #ff #follow
408909650814189570	А зарабатывал я на испытаниях лекарств. /)__) #TeamFollowBack
